Title,Price,Address,Details
4 bedroom semi-detached duplex for rent,"₦10,000,000per annum","Creek Haven Estate, Off Harris Drive, VGC, Lekki, Lagos",N/A
3 bedroom flat / apartment for rent,"₦6,500,000per annum","Osapa, Osapa, Lekki, Lagos",N/A
3 bedroom terraced duplex for rent,"₦10,000,000per annum","Osapa, Osapa, Lekki, Lagos",N/A
2 bedroom flat / apartment for rent,"₦5,500,000per annum","Osapa, Osapa, Lekki, Lagos",N/A
1 bedroom mini flat (room and parlour) for rent,"₦2,000,000per annum","Located Off Addo Road, Ajah (lekki Axis), Lekki Expressway, Lekki, Lagos",N/A
2 bedroom flat / apartment for rent,"₦8,500,000per annum","Lekki Phase 1, Lekki, Lagos",N/A
1 bedroom flat / apartment for rent,"₦4,100,000per annum","Lekki, Lekki Phase 1, Lekki, Lagos",N/A
4 bedroom detached duplex for sale,"₦320,000,000","In A Call To Access Estate Suitable For Family Living Or Investment, Abule Egba, Agege, Lagos",N/A
3 bedroom flat / apartment for sale,"₦1,000,000,000","Ikoyi, Ikoyi, Lagos",N/A
4 bedroom terraced duplex for sale,"₦2,500,000,000","Ikoyi, Ikoyi, Lagos",N/A
3 bedroom flat / apartment for rent,"₦5,500,000per annum","Olokonla, Ajah, Lagos",N/A
3 bedroom flat / apartment for rent,"₦5,500,000per annum","Behind Blenco, Olokonla, Ajah, Lagos",N/A
Residential land for sale,"₦85,000,000","Woji, Port Harcourt, Rivers",N/A
Residential land for sale,"₦25,000,000per plot","Through Otungba Gbenga Danielâs Street, Katampe Extension, Katampe, Abuja",N/A
3 bedroom house for rent,"₦9,000,000per annum","Jahi, Abuja",N/A
2 bedroom flat / apartment for rent,"₦20,000,000per annum","Richmond Pearl Estate, Lekki Phase 1, Lekki, Lagos",N/A
4 bedroom terraced duplex for rent,"₦20,000,000per annum","Ask Bencom Homes, Oniru, Victoria Island (VI), Lagos",N/A
5 bedroom detached duplex for sale,"₦405,000,000","Off Spg Road, Lekki, Lagos",N/A
2 bedroom flat / apartment for rent,"₦18,000,000per annum","Oxygen Tower Periwinkle Lifestyle Estate Ikate, Lekki, Lagos",N/A
5 bedroom detached duplex for rent,"₦20,000,000per annum","Ologolo, Lekki, Lagos",N/A
3 bedroom flat / apartment for rent,"₦20,000,000per annum","Ikate Elegushi, Lekki, Lagos",N/A
5 bedroom detached duplex for rent,"₦25,000,000per annum","Pinnock Beach Estate, Osapa, Lekki, Lagos",N/A
3 bedroom flat / apartment for sale,"₦160,000,000","Victory Park Estate Osapa London, Osapa, Lekki, Lagos",N/A
2 bedroom flat / apartment for sale,"₦85,000,000","Lekki Scheme 2 By Mobile Road Ajah, Lekki Phase 2, Lekki, Lagos",N/A
1 bedroom flat / apartment short let,"₦100,000per day","Lobito Crescent, Wuse 2, Abuja",N/A
4 bedroom block of flats for sale,"$1,600,000approx. ₦2,233,647,888","Old Ikoyi, Ikoyi, Lagos",N/A
3 bedroom flat / apartment for rent,"₦28,000,000per annum","Ikoyi, Lagos",N/A
